ID_TARIF_MATIERE;ID_ASS_QUALITE_TARIF_TEXTURE;ID_MATIERE;TARIF_PUBLIC;TARIF_GRD_PROJET
808;160;4;0;0
809;160;6;0;0
810;160;7;0;0
811;160;8;0;0
812;160;9;0;0
813;160;10;0;0
814;160;11;0;0
815;161;4;0;0
816;161;6;0;0
817;161;7;0;0
818;161;8;0;0
819;161;9;0;0
820;161;10;0;0
821;161;11;0;0
822;162;4;0;0
823;162;6;0;0
824;162;7;0;0
825;162;8;0;0
826;162;9;0;0
827;162;10;0;0
828;162;11;0;0
829;163;4;0;0
830;163;6;0;0
831;163;7;0;0
832;163;8;0;0
833;163;9;0;0
834;163;10;0;0
835;163;11;0;0
836;164;4;0;0
837;164;6;0;0
838;164;7;0;0
839;164;8;0;0
840;164;9;0;0
841;164;10;0;0
842;164;11;0;0
843;165;4;0;0
844;165;6;0;0
845;165;7;0;0
846;165;8;0;0
847;165;9;0;0
848;165;10;0;0
849;165;11;0;0
850;166;4;0;0
851;166;6;0;0
852;166;7;0;0
853;166;8;0;0
854;166;9;0;0
855;166;10;0;0
856;166;11;0;0
857;167;4;0;0
858;167;6;0;0
859;167;7;0;0
860;167;8;0;0
861;167;9;0;0
862;167;10;0;0
863;167;11;0;0
864;168;4;0;0
865;168;6;0;0
866;168;7;0;0
867;168;8;0;0
868;168;9;0;0
869;168;10;0;0
870;168;11;0;0
