"ID_TARIF","PRIX_BASE","DEVISE","MESURE","LIBELLE_NOM_TARIF","CONFIDENTIEL","POURCENTAGE_PRIX_BASE","VARIATION","TVA","TARIF_BASE","TARIF_PRO","ID_TARIF_GROUPE","ID_TARIF_TEXTURE","ID_DISCOUNT"
"120","222.36","1","1","2015 Tarif Pro HT (-40%)","","0","0","0","","","","",""
"121","222.36","1","1","2015 Tarif Pro TTC (-40%)","","0","0","20","","","","",""
"122","222.36","1","1","2015 Tarif Pro Deutschland HT+T (-40%)","","0","0","0","","","","",""
"123","35.52","2","2","2015 Tarif David Sutherland - Recommended Net Prof. Prizes","","0","0","0","","","","",""
"124","409.9","1","1","2015 Tarif Public Med HT (+10%)","","0","0","0","","","","",""
"125","409.9","1","1","2015 Tarif Public Med HT (+10%)","","0","0","0","","","","",""
"126","316.74","1","1","2015 Tarif Pro HT (-15%)","","0","0","0","","","","",""
"127","253.39","1","1","2015 Tarif Pro HT (-32%)","","0","0","0","","","","",""
"128","253.39","1","1","2015 Tarif Pro TTC (-32%)","","0","0","20","","","","",""
"129","0","0","0","2016 Tarif Public","","0","0","0","","","3","2","1"
"130","0","0","0","2016 Tarif Pro (-20%)","","0","0","0","","","3","2","2"
"131","0","0","0","2017 Tarif Public","","0","0","0","","","4","3","1"
"132","0","0","0","2017 Tarif Pro  (-20%)","","0","0","0","","","4","3","2"
"133","0","0","0","2017 N°2 Tarif Public","","0","0","0","","","4","4","1"
"134","0","0","0","2017 N°2 Tarif Professionnel","","0","0","0","","","4","4","2"
"135","0","0","0","2018 Tarif Public","","0","0","0","","","8","5","1"
"136","0","0","0","2018 Tarif Pro (-20)","","0","0","0","","","8","5","2"
"137","0","0","0","2019 Tarif Pro (-20)","","0","0","0","","","9","6","2"
"138","0","0","0","2019 Tarif Public","","0","0","0","","","9","6","1"
"139","0","0","0","2020 Tarif Public","","0","0","0","","","10","7","1"
"140","0","0","0","2020 Tarif Pro  (-20)","","0","0","0","","","10","7","2"
"141","0","0","0","2021 Tarif Public","","0","0","0","","","11","8","1"
"142","0","0","0","2021 tarif Pro  (-20)","","0","0","0","","","11","8","2"
"143","0","0","0","2021 Tarif Pro Galerie (-30)","","0","0","0","","","11","8","4"
"144","0","0","0","2022 Tarif Public","","0","0","0","","","12","9","1"
"145","0","0","0","2022 Tarif pro (-20%)","","0","0","0","","","12","9","2"
"146","0","0","0","2022 tapis pro (30%)","","0","0","0","","","12","9","4"
