"ID_MODEL";"ID_COLLECTION";"REF_MODEL";"CODE_MODEL";"DESCRIPTION_FR";"DESCRIPTION_AN";"POLICE";"Gen_DESCRIPTION_AN";"Gen_DESCRIPTION_FR";"NUMERO_MAX";"REF_COLLECTION";"NUM_MAX";"REF_COLL";"Aen_DESCRIPTION_AN";"Aen_DESCRIPTION_FR"
2102;82;"24";;;;;;;0;;100;;;
2103;82;"25";;;;;;;0;;100;;;
2104;82;"26";;;;;;;0;;100;;;
2105;82;"27";;;;;;;0;;100;;;
2106;82;"28";;;;;;;0;;100;;;
2107;82;"29";;;;;;;0;;100;;;
2108;82;"30";;;;;;;0;;100;;;
2109;82;"31";;;;;;;0;;100;;;
2110;82;"32";;;;;;;0;;100;;;
2111;82;"33";;;;;;;0;;100;;;
2112;82;"34";;;;;;;0;;100;;;
2113;82;"35";;;;;;;0;;100;;;
2114;82;"36";;;;;;;0;;100;;;
2115;82;"37";;;;;;;0;;100;;;
2116;82;"38";;;;;;;0;;100;;;
2117;82;"99";;;;;;;0;;100;;;
2118;37;"40";;;;;;;0;;99;;;
2119;37;"50";;;;;;;0;;99;;;
2120;37;"13";;;;;;;0;;99;;;
2121;35;"31";;;;;;;0;;100;;;
2122;36;"76";;;;;;;0;;99;;;
2123;36;"77";;;;;;;0;;99;;;
2124;68;"31";;;;;;;0;;99;;;
2125;35;"27";;;;;;;0;;99;;;
2126;37;"13";;;;;;;0;;99;;;
2127;37;"58";;;;;;;0;;99;;;
2128;36;"96";;;;;;;0;;99;;;
2129;75;"08";;;;;;;0;;99;;;
2130;36;"94";;;;;;;0;;99;;;
2131;36;"88";;;;;;;0;;99;;;
2132;18;"35";;;;;;;0;;0;;;
2133;47;"22";;;;;;;0;;10;;;
2134;38;"49";;;;;;;0;;99;;;
2135;38;"48";;;;;;;0;;99;;;
2136;;;;;;;;;0;;0;;;
2137;38;"50";;;;;;;0;;99;;;
2138;36;"112";;;;;;;0;;99;;;
2139;36;"113";;;;;;;0;;99;;;
2140;36;"114";;;;;;;0;;99;;;
2141;36;"121";;;;;;;0;;99;;;
2142;36;"120";;;;;;;0;;99;;;
2143;36;"100";;;;;;;0;;0;;;
2144;28;"72";;;;;;;0;;100;;;
2145;84;"01";;;;;;;0;;0;;;
2146;84;"02";;;;;;;0;;0;;;
2147;84;"03";;;;;;;0;;0;;;
2148;84;"04";;;;;;;0;;0;;;
2149;84;"05";;;;;;;0;;0;;;
2150;84;"06";;;;;;;0;;0;;;
2151;84;"07";;;;;;;0;;0;;;
2152;86;"01";;;;;;;0;;0;;;
2153;86;"02";;;;;;;0;;0;;;
2154;86;"03";;;;;;;0;;0;;;
2155;86;"04";;;;;;;0;;0;;;
2156;86;"05";;;;;;;0;;0;;;
2157;86;"06";;;;;;;0;;0;;;
2158;86;"07";;;;;;;0;;0;;;
2159;86;"08";;;;;;;0;;0;;;
2160;86;"09";;;;;;;0;;0;;;
2161;86;"10";;;;;;;0;;0;;;
2162;38;"120";;;;;;;0;;120;;;
2163;36;"141";;;;;;;0;;;;;
2164;87;"01";;;;;;;0;;0;;;
2165;87;"02";;;;;;;0;;0;;;
2166;87;"03";;;;;;;0;;0;;;
2167;87;"04";;;;;;;0;;0;;;
2168;87;"05";;;;;;;0;;0;;;
2169;87;"06";;;;;;;0;;0;;;
2170;87;"07";;;;;;;0;;0;;;
2171;87;"08";;;;;;;0;;0;;;
2172;87;"09";;;;;;;0;;0;;;
2173;87;"10";;;;;;;0;;0;;;
2174;87;"11";;;;;;;0;;0;;;
2175;87;"12";;;;;;;0;;0;;;
2176;87;"13";;;;;;;0;;0;;;
2177;87;"14";;;;;;;0;;0;;;
2178;87;"15";;;;;;;0;;0;;;
2179;87;"16";;;;;;;0;;0;;;
2180;87;"17";;;;;;;0;;0;;;
2181;87;"18";;;;;;;0;;0;;;
2182;87;"19";;;;;;;0;;0;;;
2183;87;"20";;;;;;;0;;0;;;
2184;84;"08";;;;;;;0;;0;;;
2185;84;"09";;;;;;;0;;0;;;
2186;86;"11";;;;;;;0;;0;;;
2187;88;"01";;;;;;;0;;0;;;
2188;88;"02";;;;;;;0;;0;;;
2189;88;"03";;;;;;;0;;0;;;
2190;88;"04";;;;;;;0;;0;;;
2191;38;"76";;;;;;;0;;0;;;
2192;38;"73";;;;;;;0;;0;;;
2193;35;"52";;;;;;;0;;10;;;
2194;12;"22";;;;;;;0;;0;;;
2195;12;"23";;;;;;;0;;0;;;
2196;12;"24";;;;;;;0;;0;;;
2197;37;"63";;;;;;;0;;0;;;
2198;36;"110";;;;;;;0;;0;;;
2199;9;"45";;;;;;;0;;0;;;
2200;9;"46";;;;;;;0;;0;;;
2201;9;"47";;;;;;;0;;0;;;
2202;9;"48";;;;;;;0;;0;;;
2203;92;"01";;;;;;;0;;0;;;
2204;94;"02";;;;;;;0;;0;;;
2205;93;"01";;;;;;;0;;0;;;
2206;95;"01";;;;;;;0;;0;;;
2207;93;"Rosace";;;;;;;0;;0;;;
2208;92;"07";;;;;;;0;;0;;;
2209;97;"01";;;;;;;0;;0;;;
2210;68;"autre";;;;;;;0;;0;;;
2211;9;"autre";;;;;;;0;;0;;;
2212;86;"autre";;;;;;;0;;0;;;
2213;53;"autre";;;;;;;0;;0;;;
2214;11;"autre";;;;;;;0;;0;;;
2215;8;"autre";;;;;;;0;;0;;;
2216;22;"autre";;;;;;;0;;0;;;
2217;23;"autre";;;;;;;0;;0;;;
2218;12;"autre";;;;;;;0;;0;;;
2219;7;"autre";;;;;;;0;;0;;;
2220;84;"autre";;;;;;;0;;0;;;
2221;13;"autre";;;;;;;0;;0;;;
2222;82;"autre";;;;;;;0;;0;;;
2223;66;"autre";;;;;;;0;;0;;;
2224;51;"autre";;;;;;;0;;0;;;
2225;24;"autre";;;;;;;0;;0;;;
2226;45;"autre";;;;;;;0;;0;;;
2227;46;"autre";;;;;;;0;;0;;;
2228;47;"autre";;;;;;;0;;0;;;
2229;48;"autre";;;;;;;0;;0;;;
2230;49;"autre";;;;;;;0;;0;;;
2231;89;"autre";;;;;;;0;;0;;;
2232;90;"autre";;;;;;;0;;0;;;
